id,name,note,nbr_avis,type,quartier,prix
9,LES AMIS DE MESSINA,5/5,1,Restaurant italien et pizzeria,75012,€€
10,L'ARCANE,5/5,1,Bistrot – Brasserie,75018,€€€
11,OH AND CO,5/5,1,Cuisine française,75015,€
12,ARTI,5/5,1,Restaurant indien,75015,€€
13,JUSTE LE ZINC,5/5,1,Cuisine française,75008,€
14,ALL MANKAL,5/5,1,Restaurant libanais,75016,€€
15,RISI E BISI,5/5,1,Restaurant italien et pizzeria,75008,€€
16,LE PROGRÈS,5/5,1,Cuisine française,75018,€€
17,LA TABLE DU CAVISTE BIO,5/5,1,Cuisine française,75017,€€
18,LE DIT VIN,5/5,1,Bistrot – Brasserie,75009,€€
19,LES ARTIZANS,5/5,1,Bistrot – Brasserie,75001,€€
20,LE PERGOLESE,5/5,1,Cuisine française,75016,€€€
21,NAKATANI,5/5,1,Cuisine française,75007,€€
22,LE FILIPPO,5/5,1,Restaurant italien et pizzeria,75015,€€
23,MEIJI,5/5,1,Restaurant japonais,75008,€€
24,CHÂTEAU POIVRE,5/5,1,Bistrot – Brasserie,75014,€€
25,LE GÉNIE SOUS LES ÉTOILES,5/5,1,Cuisine française,75011,€€
26,SOURIRE,5/5,1,Bistrot – Brasserie,75013,€€
27,IL GIRAMONDO,5/5,1,Restaurant italien et pizzeria,75007,€€
28,BRUTUS,"4,7/5",3,Crêperie,75017,€
29,LE SANGLIER BLEU,"4,7/5",3,Bistrot – Brasserie,75018,€€
30,AUBERGE PYRÉNEES-CÉVENNES,"4,7/5",3,Bistrot – Brasserie,75011,€€
31,LA FERME DE CHARLES,"4,7/5",3,Cuisine française,75010,€€
32,CHEZ AJIA,None,None,Restaurant taïwannais,75004,€€
33,NOMAD'S,"4,7/5",3,Cuisine méditerranéenne,75001,€€
34,LES PAPILLES,"4,7/5",3,Bistrot – Brasserie,75005,€€
35,EELS,"4,7/5",3,Cuisine française,75010,€€
36,LE SANCERRE,4/5,10,Bistrot – Brasserie,75003,€€
37,CHEZ LENA ET MIMILE,"4,7/5",3,Cuisine française,75005,€€
38,RESTAURANT SEÇ,"4,7/5",3,Restaurant turc,75017,€€
39,TANDOORI,"4,7/5",3,Restaurant indien,75015,€€
40,EL PICAFLOR,4/5,10,Restaurant péruvien,75005,€€
41,LA FOCACCERIA DES VITELLONI,"4,7/5",3,Restaurant italien et pizzeria,75003,€€
42,PARIS POLSKA,"4,3/5",7,Restaurant polonais,75020,€
43,LE MÉCHOUI DU PRINCE,None,None,Restaurant marocain,75005,€€
44,ASE THEODROS,"4,7/5",3,Restaurant éthiopien,75005,€€
45,L' ENOTECA,"4,7/5",3,Restaurant italien et pizzeria,75004,€€€
46,CHIQUETTE,None,None,Cuisine française,75007,€€€
47,BOUILLON,"4,7/5",3,Cuisine française,75009,€€
